x = -5.0000    y = -114.0000000000
x = -4.9000    y = -106.8490000000
x = -4.8000    y = -99.9920000000
x = -4.7000    y = -93.4230000000
x = -4.6000    y = -87.1360000000
x = -4.5000    y = -81.1250000000
x = -4.4000    y = -75.3840000000
x = -4.3000    y = -69.9070000000
x = -4.2000    y = -64.6880000000
x = -4.1000    y = -59.7210000000
x = -4.0000    y = -55.0000000000
x = -3.9000    y = -50.5190000000
x = -3.8000    y = -46.2720000000
x = -3.7000    y = -42.2530000000
x = -3.6000    y = -38.4560000000
x = -3.5000    y = -34.8750000000
x = -3.4000    y = -31.5040000000
x = -3.3000    y = -28.3370000000
x = -3.2000    y = -25.3680000000
x = -3.1000    y = -22.5910000000
x = -3.0000    y = -20.0000000000
x = -2.9000    y = -17.5890000000
x = -2.8000    y = -15.3520000000
x = -2.7000    y = -13.2830000000
x = -2.6000    y = -11.3760000000
x = -2.5000    y = -9.6250000000
x = -2.4000    y = -8.0240000000
x = -2.3000    y = -6.5670000000
x = -2.2000    y = -5.2480000000
x = -2.1000    y = -4.0610000000
x = -2.0000    y = -3.0000000000
x = -1.9000    y = -2.0590000000
x = -1.8000    y = -1.2320000000
x = -1.7000    y = -0.5130000000
x = -1.6000    y = 0.1040000000
x = -1.5000    y = 0.6250000000
x = -1.4000    y = 1.0560000000
x = -1.3000    y = 1.4030000000
x = -1.2000    y = 1.6720000000
x = -1.1000    y = 1.8690000000
x = -1.0000    y = 2.0000000000
x = -0.9000    y = 2.0710000000
x = -0.8000    y = 2.0880000000
x = -0.7000    y = 2.0570000000
x = -0.6000    y = 1.9840000000
x = -0.5000    y = 1.8750000000
x = -0.4000    y = 1.7360000000
x = -0.3000    y = 1.5730000000
x = -0.2000    y = 1.3920000000
x = -0.1000    y = 1.1990000000
x = 0.0000    y = 1.0000000000
x = 0.1000    y = 0.8010000000
x = 0.2000    y = 0.6080000000
x = 0.3000    y = 0.4270000000
x = 0.4000    y = 0.2640000000
x = 0.5000    y = 0.1250000000
x = 0.6000    y = 0.0160000000
x = 0.7000    y = -0.0570000000
x = 0.8000    y = -0.0880000000
x = 0.9000    y = -0.0710000000
x = 1.0000    y = 0.0000000000
x = 1.1000    y = 0.1310000000
x = 1.2000    y = 0.3280000000
x = 1.3000    y = 0.5970000000
x = 1.4000    y = 0.9440000000
x = 1.5000    y = 1.3750000000
x = 1.6000    y = 1.8960000000
x = 1.7000    y = 2.5130000000
x = 1.8000    y = 3.2320000000
x = 1.9000    y = 4.0590000000
x = 2.0000    y = 5.0000000000
x = 2.1000    y = 6.0610000000
x = 2.2000    y = 7.2480000000
x = 2.3000    y = 8.5670000000
x = 2.4000    y = 10.0240000000
x = 2.5000    y = 11.6250000000
x = 2.6000    y = 13.3760000000
x = 2.7000    y = 15.2830000000
x = 2.8000    y = 17.3520000000
x = 2.9000    y = 19.5890000000
x = 3.0000    y = 22.0000000000
x = 3.1000    y = 24.5910000000
x = 3.2000    y = 27.3680000000
x = 3.3000    y = 30.3370000000
x = 3.4000    y = 33.5040000000
x = 3.5000    y = 36.8750000000
x = 3.6000    y = 40.4560000000
x = 3.7000    y = 44.2530000000
x = 3.8000    y = 48.2720000000
x = 3.9000    y = 52.5190000000
x = 4.0000    y = 57.0000000000
x = 4.1000    y = 61.7210000000
x = 4.2000    y = 66.6880000000
x = 4.3000    y = 71.9070000000
x = 4.4000    y = 77.3840000000
x = 4.5000    y = 83.1250000000
x = 4.6000    y = 89.1360000000
x = 4.7000    y = 95.4230000000
x = 4.8000    y = 101.9920000000
x = 4.9000    y = 108.8490000000
x = 5.0000    y = 116.0000000000
