1: x = -2.000000, y = -2.000000
2: x = -1.000000, y = -1.000000
3: x = -1.500000, y = -1.500000
4: x = 0.500000, y = -2.000000
5: x = -1.000000, y = -1.500000
6: x = -1.000000, y = -1.500000
7: x = -1.500000, y = -1.500000
8: x = -1.250000, y = -1.500000
9: x = -1.250000, y = -1.500000
10: x = -1.125000, y = -1.750000
11: x = -0.750000, y = -1.875000
12: x = -0.125000, y = -2.000000
13: x = -0.750000, y = -1.875000
14: x = -0.750000, y = -1.875000
15: x = -0.750000, y = -1.875000
16: x = -0.781250, y = -1.812500
17: x = -0.750000, y = -1.843750
18: x = -0.812500, y = -1.812500
19: x = -0.906250, y = -1.781250
20: x = -0.812500, y = -1.812500
21: x = -0.875000, y = -1.812500
22: x = -0.843750, y = -1.812500
23: x = -0.843750, y = -1.812500
24: x = -0.843750, y = -1.812500
25: x = -0.812500, y = -1.828125
26: x = -0.773438, y = -1.835938
27: x = -0.812500, y = -1.828125
28: x = -0.812500, y = -1.828125
29: x = -0.828125, y = -1.820312
30: x = -0.847656, y = -1.812500
31: x = -0.828125, y = -1.820312
32: x = -0.828125, y = -1.820312
33: x = -0.820312, y = -1.824219
34: x = -0.810547, y = -1.826172
35: x = -0.820312, y = -1.824219
36: x = -0.820312, y = -1.824219
37: x = -0.824219, y = -1.822266
38: x = -0.829102, y = -1.820312
39: x = -0.824219, y = -1.822266
40: x = -0.822266, y = -1.823242
41: x = -0.819336, y = -1.824219
42: x = -0.822266, y = -1.823242
43: x = -0.822266, y = -1.823242
44: x = -0.822266, y = -1.823242
45: x = -0.822510, y = -1.822754
46: x = -0.822266, y = -1.822998
47: x = -0.822754, y = -1.822998
48: x = -0.822998, y = -1.822754
49: x = -0.823730, y = -1.822510
50: x = -0.822998, y = -1.822754
51: x = -0.822998, y = -1.822754
52: x = -0.822876, y = -1.822998
53: x = -0.822998, y = -1.822876
54: x = -0.822754, y = -1.822876
55: x = -0.822876, y = -1.822876
56: x = -0.822876, y = -1.822876
57: x = -0.822876, y = -1.822876
58: x = -0.822876, y = -1.822876
59: x = -0.822876, y = -1.822876
60: x = -0.822876, y = -1.822876
61: x = -0.822876, y = -1.822876
62: x = -0.822876, y = -1.822876
